ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",15654.999999999998,"North Carolina","04000US37","north-carolina",285187,0.027759697136853854
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",11220.919213682986,"North Carolina","04000US37","north-carolina",226861,0.02208232721745312
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",5728.51752201213,"North Carolina","04000US37","north-carolina",40127,0.003905905132458824
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",2989,"North Carolina","04000US37","north-carolina",6438334,0.6345194163906844
0,"White Alone",1,"Hispanic or Latino",2016,"2016",13998,"North Carolina","04000US37","north-carolina",550731,0.05427638775935794
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",10177,"North Carolina","04000US37","north-carolina",2144650,0.21136245282743663
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",6049,"North Carolina","04000US37","north-carolina",37562,0.003701861120977397
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",3130,"North Carolina","04000US37","north-carolina",108345,0.010677763248823174
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",3524,"North Carolina","04000US37","north-carolina",12498,0.0012317198309455169
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",4293,"North Carolina","04000US37","north-carolina",273281,0.02693275941115553
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",1171,"North Carolina","04000US37","north-carolina",2147,0.00021159405321171586
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",1081,"North Carolina","04000US37","north-carolina",5376,0.0005298228365468954
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",544,"North Carolina","04000US37","north-carolina",705,0.00006948011528377256
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",4474,"North Carolina","04000US37","north-carolina",19620,0.0019336168253441385
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",13430,"North Carolina","04000US37","north-carolina",284673,0.028055479231457285
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",10853.131575725045,"North Carolina","04000US37","north-carolina",226072,0.02228015407437309
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",5635.099023087349,"North Carolina","04000US37","north-carolina",42794,0.0042174922744025005
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",3932,"North Carolina","04000US37","north-carolina",6387868,0.6360643175082014
